Ziphiidae Ziphius Ziphius cavirostris 4774999.99
Ziphiidae Tasmacetus Tasmacetus shepherdi 2500000
Ziphiidae Mesoplodon Mesoplodon traversii 2827272.72636364
Ziphiidae Mesoplodon Mesoplodon stejnegeri 4800000.02
Ziphiidae Mesoplodon Mesoplodon peruvianus 2827272.72636364
Ziphiidae Mesoplodon Mesoplodon perrini 2827272.72636364
Ziphiidae Mesoplodon Mesoplodon mirus 2099999.99
Ziphiidae Mesoplodon Mesoplodon layardii 1500000
Ziphiidae Mesoplodon Mesoplodon hectori 1000000
Ziphiidae Mesoplodon Mesoplodon grayi 2899999.98
Ziphiidae Mesoplodon Mesoplodon ginkgodens 1500000
Ziphiidae Mesoplodon Mesoplodon europaeus 5600000.02
Ziphiidae Mesoplodon Mesoplodon densirostris 2299999.99
Ziphiidae Mesoplodon Mesoplodon carlhubbsi 3400000
Ziphiidae Mesoplodon Mesoplodon bowdoini 2599999.99
Ziphiidae Mesoplodon Mesoplodon bidens 3400000
Ziphiidae Indopacetus Indopacetus pacificus 2200000
Ziphiidae Hyperoodon Hyperoodon planifrons 3000000.01
Ziphiidae Hyperoodon Hyperoodon ampullatus 3393361.08
Ziphiidae Berardius Berardius bairdii 11380000.04
Ziphiidae Berardius Berardius arnuxii 7000000.02
Vombatidae Vombatus Vombatus ursinus 26000
Vombatidae Lasiorhinus Lasiorhinus latifrons 26163.8
Vombatidae Lasiorhinus Lasiorhinus krefftii 31849.99
Viverridae Viverricula Viverricula indica 2918.88
Viverridae Viverra Viverra zibetha 9148.77
Viverridae Viverra Viverra tangalunga 7349.99
Viverridae Viverra Viverra megaspila 9250
Viverridae Viverra Viverra civettina 12061.27
Viverridae Poiana Poiana richardsonii 570.08
Viverridae Poiana Poiana leightoni 570.08
Viverridae Paradoxurus Paradoxurus zeylonensis 2821.3
Viverridae Paradoxurus Paradoxurus jerdoni 3530.33
Viverridae Paradoxurus Paradoxurus hermaphroditus 3200
Viverridae Paguma Paguma larvata 4300
Viverridae Macrogalidia Macrogalidia musschenbroekii 5148.86
Viverridae Hemigalus Hemigalus derbyanus 1262.7
Viverridae Genetta Genetta victoriae 2743.69
Viverridae Genetta Genetta tigrina 2066.57
Viverridae Genetta Genetta thierryi 1400
Viverridae Genetta Genetta servalina 1175.84
Viverridae Genetta Genetta poensis 1865.3781666667
Viverridae Genetta Genetta piscivora 1648.05
Viverridae Genetta Genetta pardina 2290.868
Viverridae Genetta Genetta maculata 1950
Viverridae Genetta Genetta johnstoni 2225
Viverridae Genetta Genetta genetta 1756.17
Viverridae Genetta Genetta cristata 1863.23
Viverridae Genetta Genetta bourloni 1865.3781666667
Viverridae Genetta Genetta angolensis 1859.64
Viverridae Genetta Genetta abyssinica 1405.48
Viverridae Diplogale Diplogale hosei 1450
Viverridae Cynogale Cynogale bennettii 4246.57
Viverridae Civettictis Civettictis civetta 12075.58
Viverridae Chrotogale Chrotogale owstoni 3267.71
Viverridae Arctogalidia Arctogalidia trivirgata 2323.79
Viverridae Arctictis Arctictis binturong 12999.99
Vespertilionidae Vespertilio Vespertilio sinensis 24.3
Vespertilionidae Vespertilio Vespertilio murinus 15.42
Vespertilionidae Vespadelus Vespadelus vulturnus 3.77
Vespertilionidae Vespadelus Vespadelus troughtoni 5.054
Vespertilionidae Vespadelus Vespadelus regulus 5.05
Vespertilionidae Vespadelus Vespadelus pumilus 5.4
Vespertilionidae Vespadelus Vespadelus finlaysoni 5.054
Vespertilionidae Vespadelus Vespadelus douglasorum 4.99
Vespertilionidae Vespadelus Vespadelus darlingtoni 6.06
Vespertilionidae Vespadelus Vespadelus caurinus 5.054
Vespertilionidae Vespadelus Vespadelus baverstocki 5.054
Vespertilionidae Tylonycteris Tylonycteris robustula 7.98
Vespertilionidae Tylonycteris Tylonycteris pachypus 4.1
Vespertilionidae Scotozous Scotozous dormeri 6.79
Vespertilionidae Scotorepens Scotorepens sanborni 8.13
Vespertilionidae Scotorepens Scotorepens orion 11.83
Vespertilionidae Scotorepens Scotorepens greyii 10
Vespertilionidae Scotorepens Scotorepens balstoni 11.92
Vespertilionidae Scotophilus Scotophilus viridis 19.81
Vespertilionidae Scotophilus Scotophilus tandrefana 24.74625
Vespertilionidae Scotophilus Scotophilus robustus 24.74625
Vespertilionidae Scotophilus Scotophilus nux 30
Vespertilionidae Scotophilus Scotophilus nucella 24.74625
Vespertilionidae Scotophilus Scotophilus nigrita 27.34
Vespertilionidae Scotophilus Scotophilus marovaza 24.74625
Vespertilionidae Scotophilus Scotophilus leucogaster 20.24
Vespertilionidae Scotophilus Scotophilus kuhlii 20.31
Vespertilionidae Scotophilus Scotophilus heathii 36.13
Vespertilionidae Scotophilus Scotophilus dinganii 25.12
Vespertilionidae Scotophilus Scotophilus collinus 24.74625
Vespertilionidae Scotophilus Scotophilus celebensis 24.74625
Vespertilionidae Scotophilus Scotophilus borbonicus 19.02
Vespertilionidae Scotomanes Scotomanes ornatus 22.24
Vespertilionidae Scotoecus Scotoecus pallidus 6.475
Vespertilionidae Scotoecus Scotoecus hirundo 8.45
Vespertilionidae Scotoecus Scotoecus albofuscus 4.5
Vespertilionidae Scoteanax Scoteanax rueppellii 26.41
Vespertilionidae Rhogeessa Rhogeessa tumida 4.58
Vespertilionidae Rhogeessa Rhogeessa parvula 4.37
Vespertilionidae Rhogeessa Rhogeessa mira 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa minutilla 3.75
Vespertilionidae Rhogeessa Rhogeessa io 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa hussoni 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa gracilis 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa genowaysi 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa alleni 4.2333333333
Vespertilionidae Rhogeessa Rhogeessa aeneus 4.2333333333
Vespertilionidae Plecotus Plecotus teneriffae 7.47
Vespertilionidae Plecotus Plecotus taivanus 7.47
Vespertilionidae Plecotus Plecotus sardus 7.47
Vespertilionidae Plecotus Plecotus sacrimontis 7.47
Vespertilionidae Plecotus Plecotus ognevi 7.47
Vespertilionidae Plecotus Plecotus macrobullaris 7.47
Vespertilionidae Plecotus Plecotus kolombatovici 7.47
Vespertilionidae Plecotus Plecotus christii 7.47
Vespertilionidae Plecotus Plecotus balensis 7.47
Vespertilionidae Plecotus Plecotus austriacus 6.75
Vespertilionidae Plecotus Plecotus auritus 8.19
Vespertilionidae Pipistrellus Pipistrellus zuluensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus westralis 5.93375
Vespertilionidae Pipistrellus Pipistrellus wattsi 5.93375
Vespertilionidae Pipistrellus Pipistrellus vordermanni 5.93375
Vespertilionidae Pipistrellus Pipistrellus tenuis 3.48
Vespertilionidae Pipistrellus Pipistrellus tenuipinnis 5.93375
Vespertilionidae Pipistrellus Pipistrellus subflavus 5.74
Vespertilionidae Pipistrellus Pipistrellus sturdeei 5.93375
Vespertilionidae Pipistrellus Pipistrellus stenopterus 15.67
Vespertilionidae Pipistrellus Pipistrellus somalicus 5.93375
Vespertilionidae Pipistrellus Pipistrellus savii 5.93375
Vespertilionidae Pipistrellus Pipistrellus rusticus 4.57
Vespertilionidae Pipistrellus Pipistrellus rueppellii 7.07
Vespertilionidae Pipistrellus Pipistrellus rendalli 5.93375
Vespertilionidae Pipistrellus Pipistrellus raceyi 5.93375
Vespertilionidae Pipistrellus Pipistrellus pygmaeus 5.93375
Vespertilionidae Pipistrellus Pipistrellus pulveratus 5.93375
Vespertilionidae Pipistrellus Pipistrellus pipistrellus 5.3
Vespertilionidae Pipistrellus Pipistrellus permixtus 5.93375
Vespertilionidae Pipistrellus Pipistrellus paterculus 5.93375
Vespertilionidae Pipistrellus Pipistrellus papuanus 5.93375
Vespertilionidae Pipistrellus Pipistrellus nathusii 7.44
Vespertilionidae Pipistrellus Pipistrellus nanus 5.93375
Vespertilionidae Pipistrellus Pipistrellus nanulus 2.51
Vespertilionidae Pipistrellus Pipistrellus musciculus 5.93375
Vespertilionidae Pipistrellus Pipistrellus murrayi 5.93375
Vespertilionidae Pipistrellus Pipistrellus minahassae 5.93375
Vespertilionidae Pipistrellus Pipistrellus melckorum 5.93375
Vespertilionidae Pipistrellus Pipistrellus maderensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus macrotis 5.93375
Vespertilionidae Pipistrellus Pipistrellus lophurus 5.93375
Vespertilionidae Pipistrellus Pipistrellus kuhlii 6.07
Vespertilionidae Pipistrellus Pipistrellus kitcheneri 5.93375
Vespertilionidae Pipistrellus Pipistrellus joffrei 5.93375
Vespertilionidae Pipistrellus Pipistrellus javanicus 4.92
Vespertilionidae Pipistrellus Pipistrellus inexspectatus 5.93375
Vespertilionidae Pipistrellus Pipistrellus imbricatus 5.93375
Vespertilionidae Pipistrellus Pipistrellus hesperus 3.56
Vespertilionidae Pipistrellus Pipistrellus hesperidus 5.93375
Vespertilionidae Pipistrellus Pipistrellus helios 5.93375
Vespertilionidae Pipistrellus Pipistrellus hanaki 5.93375
Vespertilionidae Pipistrellus Pipistrellus guineensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus flavescens 5.93375
Vespertilionidae Pipistrellus Pipistrellus endoi 5.93375
Vespertilionidae Pipistrellus Pipistrellus eisentrauti 5.93375
