age;plot;genus;species;spcode;Abund.n;biomass;basal.area;SLA;LDMC;LPC;CN;d15N;d13C;plot total abund;total plot biomass;total plot basal area
10;1;Byrsonima;crassifolia;Byrcra;57;1.205.364.427;3.978.387;6.209.219.184;0.447038449;0.043918846;4.542.962.045;-0.360118799;-2.759.379.082;108;7.127.043.394;1.642.445.438
10;1;Cochlospermum;vitifolium;cocvit;2;2.742.354.588;1.248.975;;;;;;;108;7.127.043.394;1.642.445.438
10;1;Curatella;americana;curame;42;5.872.708.237;122.620.365;2.966.209.655;0.440149615;0.061617147;3.841.891.892;-0.751106553;-2.857.336.502;108;7.127.043.394;1.642.445.438
10;1;Genipa;americana;gename;1;1.048.466.198;4.921.875;;;;;;;108;7.127.043.394;1.642.445.438
10;1;Roupala;montana;roumon;6;4.517.990.891;16.661.925;1.452.968.954;0.536842152;0.032469035;3.507.534.026;5.507.130.966;-2.939.001.709;108;7.127.043.394;1.642.445.438
10;2;Alibertia ;edulis;aliedu;1;1.048.466.198;4.921.875;;;;;;;193;1.805.491.916;6.520.381.875
10;2;Byrsonima;crassifolia;Byrcra;21;1.635.109.484;586.152;6.236.630.101;0.499283854;0.040250508;3.326.980.214;-1.401.561.155;-2.972.715.813;193;1.805.491.916;6.520.381.875
10;2;Cochlospermum;vitifolium;cocvit;1;1.244.770.846;5.740.875;;;;;;;193;1.805.491.916;6.520.381.875
10;2;Curatella;americana;curame;151;1.565.118.989;5.636.925;6.094.397.997;0.49202805;0.05556681;2.662.143.027;-0.935985222;-2.891.072.517;193;1.805.491.916;6.520.381.875
10;2;Luehea;speciosa;luespe;7;2.637.812.626;10.302.075;;;;;;;193;1.805.491.916;6.520.381.875
10;2;Roupala;montana;roumon;12;4.819.061.499;183.621.375;4.607.277.783;0.572600245;0.038391801;3.232.581.332;9.271.750.793;-2.932.526.642;193;1.805.491.916;6.520.381.875
15;3;Acacia;collinsii;acacol;64;1.552.328.129;655.869.375;;;;;;;443;6.661.028.209;2.204.340.075
15;3;Agonandra;macrocarpa;agomac;2;1.346.982.452;52.171.875;;;;;;;443;6.661.028.209;2.204.340.075
15;3;Alibertia ;edulis;aliedu;4;5.117.140.363;23.506.875;9.453.301.386;0.421929386;0.056666818;2.725.942.388;2.478.744.493;-3.137.884.384;443;6.661.028.209;2.204.340.075
15;3;Bursera;tomentosa;burtom;9;3.484.965.332;141.742.125;1.030.280.732;0.37970257;0.140520352;2.431.299.706;1.690.945.082;-2.983.021.645;443;6.661.028.209;2.204.340.075
15;3;Byrsonima;crassifolia;Byrcra;116;1.685.107.677;5.785.392.375;7.162.834.697;0.458274807;0.05376854;3.842.550.738;3.178.620.281;-2.998.985.374;443;6.661.028.209;2.204.340.075
15;3;Casearia;sylvestris ;cassyl;2;3.794.791.457;16.734.375;;;;;;;443;6.661.028.209;2.204.340.075
15;3;Cochlospermum;vitifolium;cocvit;1;4.702.030.832;18.907.875;;;;;;;443;6.661.028.209;2.204.340.075
