plot;genus;species;spcode;Abund.n;SLA
1;Byrsonima;crassifolia;Byrcra;57;6.209.219.184
1;Cochlospermum;vitifolium;cocvit;2;
plot;genus;species;spcode;Abund.n;SLA
1;Byrsonima;crassifolia;Byrcra;57;6.209.219.184
1;Cochlospermum;vitifolium;cocvit;2;
1;Curatella;americana;curame;42;2.966.209.655
1;Genipa;americana;gename;1;
1;Roupala;montana;roumon;6;1.452.968.954
2;Alibertia ;edulis;aliedu;1;
2;Byrsonima;crassifolia;Byrcra;21;6.236.630.101
2;Cochlospermum;vitifolium;cocvit;1;
2;Curatella;americana;curame;151;6.094.397.997
2;Luehea;speciosa;luespe;7;
2;Roupala;montana;roumon;12;4.607.277.783
3;Acacia;collinsii;acacol;64;
3;Agonandra;macrocarpa;agomac;2;
3;Alibertia ;edulis;aliedu;4;9.453.301.386
3;Bursera;tomentosa;burtom;9;1.030.280.732
3;Byrsonima;crassifolia;Byrcra;116;7.162.834.697
3;Casearia;sylvestris ;cassyl;2;
3;Cochlospermum;vitifolium;cocvit;1;
3;Cordia;guanacastensis ;corgua;13;1.568.246.359
3;Curatella;americana;curame;16;8.977.319.096
3;Genipa;americana;gename;8;9.755.670.091
3;Machaerium;biovulatum;macbio;1;
3;Miconia;argentea ;micarg;1;
3;Quercus ;oleoides;queoli;80;7.009.643.198
3;Rehdera;trinervis;rehtri;88;8.788.852.486
3;Roupala;montana;roumon;3;
3;Semialarium;mexicanum;hemmex;25;7.684.079.201
3;Simarouba;glauca;simgla;1;
3;Tetracera;volubilis;tetvol;9;1.862.528.116
4;Acacia;collinsii;acacol;14;
4;Acacia;farnesiana ;antless;14;
4;Alibertia ;edulis;aliedu;1;
4;Bursera;tomentosa;byrtom;2;1.030.280.732
4;Byrsonima;crassifolia;Byrcra;157;6.258.827.712
4;Cochlospermum;vitifolium;cocvit;1;1.246.701.107
4;Cordia;guanacastensis ;corgua;4;152.629.275
4;Curatella;americana;curame;13;8.661.786.448
4;Genipa;americana;gename;1;1.091.394.481
4;Rehdera;trinervis;rehtri;21;7.210.854.995
4;Roupala;montana;roumon;2;
5;Acacia;collinsii;acacol;14;
5;Acosmium;panamense;acopan;2;
5;Agonandra;macrocarpa;agomac;1;
5;Alibertia ;edulis;aliedu;9;1.189.277.714
5;Annona;purpurea;annpur;2;
5;Annona;reticulata;annret;18;3.157.702
5;Bauhinia;ungulata;bauung;3;3.336.234.154
5;Bursera;simaruba;bursim;1;1.555.543.839
5;Casearia;arguta;casarg;2;
5;Casearia;sylvestris ;cassyl;30;135.878.923
5;Casearia;tremula ;castre;2;
5;Chomelia;spinosa;chospi;8;304
5;Cochlospermum;vitifolium;cocvit;10;1.752.968.425
5;Cordia;panamensis;corpan;5;1.446.944
5;Genipa;americana;gename;6;2.733.054.913
5;Hirtella;racemosa;hirrac;20;1.337.668.889
5;Jacquinia;nervosa;jacner;1;
5;Luehea;speciosa;luespe;3;2.914.832.135
5;Quercus ;oleoides;queoli;46;7.735.737.136
5;Randia ; karstenii;rancar;1;
5;Rehdera;trinervis;rehtri;1;
5;Semialarium;mexicanum;hemmex;26;1.269.134.459
5;Spondias ;mombin;spomom;8;
5;Tabebuea;rosea;tabros;1;
5;Tetracera;volubilis;tetvol;14;1.862.528.116
6;Acacia;collinsii;acacol;34;
6;Acosmium;panamense;acopan;1;
6;Acrocomia;vinifera;acrvin;1;
6;Alibertia ;edulis;aliedu;2;1.189.277.714
6;Bauhinia;ungulata;bauung;2;3.336.234.154
6;Byrsonima;crassifolia;Byrcra;12;1.125.877.982
6;Casearia;nitida;casnit;6;1.835.484.068
6;Cedrela;odorata;cedodo;1;
6;Chomelia;spinosa;chospi;9;304
6;Cochlospermum;vitifolium;cocvit;1;1.752.968.425
6;Cordia;guanacastensis ;corgua;23;1.835.879.481
6;Cornutia;grandifolia;corgra;10;1.694.163
6;Crescentia;alata;creala;7;9.377.833.057
6;Enterolobium;cyclocarpum;entcyc;3;1.833.333
6;Guazuma;ulmifolia;guaulm;40;1.234.493.489
6;Samanea ;saman;samsam;1;
6;Trichilia;trifolia;tritri;1;2.483.663.558
7;Acacia;collinsii;acacol;10;
7;Acosmium;panamense;acopan;1;
7;Agonandra;macrocarpa;agomac;14;7.536.313
7;Alibertia ;edulis;aliedu;7;1.189.277.714
7;Allophyllusc;occidentalisc;allocc;12;1.913.235.203
7;Annona;reticulata;annret;1;
7;Bursera;simaruba;bursim;3;1.555.543.839
7;Bursera;tomentosa;burtom;2;1.030.280.732
7;Casearia;nitida;casnit;15;1.835.484.068
7;Casearia;tremula ;castre;8;
7;Chomelia;spinosa;chospi;5;
7;Cordia;alliodora;corall;13;1.684.721.591
7;Cordia;guanacastensis ;corgua;4;1.914.657.306
7;Cordia;panamensis;corpan;7;
7;Enterolobium;cyclocarpum;entcyc;1;
7;Guazuma;ulmifolia;guaulm;6;1.234.493.489
7;Guettarda;macrosperma ;guamac;1;
7;Jacquinia;nervosa;jacner;1;
7;Karwinskia;caldronii ;karcal;1;
7;Luehea;speciosa;luespe;4;3.581.541.193
7;Maclura;tinctoria;mactin;3;3.184.322.556
7;Malvaviscus;arboreus;malarb;1;2.549.201.871
7;Manilkara;chicle;manchi;1;
7;Pithecellobium;dulce;pitdul;1;
7;Randia;subcordata;ransub;18;2.069.062.462
7;Simarouba;glauca;simgla;3;
7;Spondias ;mombin;spomom;6;
7;Stemmadenia;obovata;steobo;15;2.964.793.827
7;Tabebuea;ochracea;taboch;39;1.984.982.298
7;Tabebuea;rosea;tabros;1;
7;Tetracera;volubilis;tetvol;7;2.169.031.845
7;Trichilia;americana;triame;11;1.744.647.934
7;Trichilia;trifolia;tritri;14;2.483.663.558
7;Xylosma;flexuosa;xylfle;1;
8;Acacia;collinsii;acacol;8;
8;Bursera;simaruba;bursim;2;1.555.543.839
8;Casearia;sylvestris ;cassyl;144;1.261.685.048
8;Cestrum;;cestrum;2;
8;Cordia;alliodora;corall;8;1.684.721.591
8;Cornutia;grandifolia;corgra;1;
8;Cupania;guatemalensis;cupgua;22;102.202.984
8;Diospyros;nicaraguensis;dionic;2;
8;Enterolobium;cyclocarpum;entcyc;1;
